kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs.1.sm_30.ptx 76 : 393216 3947886 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 77 : 393216 350756941 0 0 0 392389 73417 0 0 
bfs.1.sm_30.ptx 78 : 393216 2760957 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 79 : 393216 1601930 0 0 0 0 0 0 30393 
bfs.1.sm_30.ptx 81 : 126844 68556336 0 0 0 48745 48745 0 0 
bfs.1.sm_30.ptx 82 : 126844 1271977 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 83 : 126844 1271930 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 84 : 126844 1274944 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 85 : 126844 6091138 0 0 0 126762 48745 0 0 
bfs.1.sm_30.ptx 86 : 126844 1274793 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 87 : 126844 766114 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 88 : 126844 6478255 0 0 0 126762 48745 0 0 
bfs.1.sm_30.ptx 89 : 126844 66434543 0 0 0 71028 48745 0 0 
