kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gemm.1.sm_30.ptx 47 : 262144 2444096 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 48 : 262144 0 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 50 : 262144 3162432 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 51 : 262144 2433088 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 52 : 262144 2423456 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 53 : 262144 3109984 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 54 : 262144 2379520 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 55 : 262144 3100320 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 56 : 262144 2416800 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 57 : 262144 3090976 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 58 : 262144 3063040 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 59 : 262144 3087840 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 60 : 262144 2370176 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 61 : 262144 2251904 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 95 : 4194304 128918144 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 96 : 4194304 131389920 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 97 : 4194304 44498848 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 98 : 4194304 130085664 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 99 : 4194304 132396928 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 100 : 4194304 42762336 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 101 : 4194304 127821056 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 102 : 4194304 130268576 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 103 : 4194304 43626240 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 104 : 4194304 128067232 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 105 : 4194304 130685184 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 106 : 4194304 42726464 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 107 : 4194304 128321376 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 108 : 4194304 130648288 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 109 : 4194304 43864224 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 110 : 4194304 127366368 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 111 : 4194304 129481504 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 112 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 113 : 4194304 126961088 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 114 : 4194304 128841216 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 115 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 116 : 4194304 126850112 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 117 : 4194304 128748736 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 118 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 119 : 4194304 126841152 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 120 : 4194304 128731936 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 121 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 122 : 4194304 126856896 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 123 : 4194304 128731328 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 124 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 125 : 4194304 126820800 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 126 : 4194304 128679616 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 127 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 128 : 4194304 126758560 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 129 : 4194304 128608224 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 130 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 131 : 4194304 126805568 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 132 : 4194304 128670912 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 133 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 134 : 4194304 126803328 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 135 : 4194304 128673696 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 136 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 137 : 4194304 126766976 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 138 : 4194304 128627392 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 139 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 140 : 4194304 126805408 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 141 : 4194304 128690400 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 142 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 143 : 4194304 126827040 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 144 : 4194304 128728256 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 145 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 146 : 4194304 126829920 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 147 : 4194304 128700640 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 148 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 149 : 4194304 126794464 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 150 : 4194304 128647520 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 151 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 152 : 4194304 126765152 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 153 : 4194304 128625056 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 154 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 155 : 4194304 126808192 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 156 : 4194304 128668864 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 157 : 4194304 42991616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 158 : 4194304 126792576 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 159 : 4194304 128656416 0 131072 131072 0 0 0 0 
