kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
bfs.1.sm_30.ptx 76 : 393216 3947459 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 77 : 393216 347605922 0 0 0 392389 73417 0 0 
bfs.1.sm_30.ptx 78 : 393216 2761033 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 79 : 393216 1602122 0 0 0 0 0 0 30393 
bfs.1.sm_30.ptx 81 : 126844 69158563 0 0 0 48745 48745 0 0 
bfs.1.sm_30.ptx 82 : 126844 1271994 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 83 : 126844 1271870 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 84 : 126844 1275475 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 85 : 126844 6135515 0 0 0 126762 48745 0 0 
bfs.1.sm_30.ptx 86 : 126844 1274833 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 87 : 126844 766420 0 0 0 0 0 0 0 
bfs.1.sm_30.ptx 88 : 126844 6624605 0 0 0 126762 48745 0 0 
bfs.1.sm_30.ptx 89 : 126844 66413269 0 0 0 71028 48745 0 0 
