kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
gemm.1.sm_30.ptx 190 : 262144 2152064 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 189 : 262144 1127584 0 0 0 8192 8192 0 0 
gemm.1.sm_30.ptx 188 : 262144 3207168 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 187 : 262144 3378016 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 186 : 262144 2669312 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 185 : 262144 3312544 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 182 : 4194304 31803328 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 181 : 4194304 40855808 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 180 : 4194304 46479904 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 179 : 4194304 25222528 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 178 : 4194304 30467808 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 177 : 4194304 131941568 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 176 : 4194304 131790624 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 175 : 4194304 30586176 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 174 : 4194304 131992512 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 173 : 4194304 131718336 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 172 : 4194304 30472832 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 171 : 4194304 131892928 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 170 : 4194304 131934336 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 169 : 4194304 30327264 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 168 : 4194304 132321120 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 167 : 4194304 132557440 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 166 : 4194304 30592512 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 165 : 4194304 132745056 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 164 : 4194304 132106784 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 163 : 4194304 30850016 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 91 : 4194304 30769856 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 90 : 4194304 132480224 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 89 : 4194304 132700768 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 88 : 4194304 30931744 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 87 : 4194304 133134720 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 86 : 4194304 133180736 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 85 : 4194304 34469920 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 84 : 4194304 131679040 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 83 : 4194304 131971136 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 82 : 4194304 25177760 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 81 : 4194304 21056576 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 80 : 4194304 1380753888 0 0 0 131072 131072 0 0 
gemm.1.sm_30.ptx 79 : 4194304 43171104 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 78 : 4194304 42857664 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 77 : 4194304 47503616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 76 : 4194304 43063840 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 75 : 4194304 21778848 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 74 : 4194304 1422650528 0 0 0 131072 131072 0 0 
gemm.1.sm_30.ptx 73 : 4194304 50322592 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 72 : 4194304 51198432 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 71 : 4194304 51830272 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 70 : 4194304 39367808 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 67 : 262144 2400192 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 66 : 262144 2183104 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 65 : 262144 2297248 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 64 : 262144 2491808 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 63 : 262144 2453024 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 45 : 262144 3326080 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 44 : 262144 3723712 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 43 : 262144 2354272 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 42 : 262144 2332896 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 41 : 262144 2319968 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 40 : 262144 3564192 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 39 : 262144 2161408 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 38 : 262144 2137216 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 37 : 262144 2087616 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 36 : 262144 867488 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 94 : 4194304 30882464 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 35 : 262144 974976 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 162 : 4194304 132084544 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 93 : 4194304 132839264 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 34 : 262144 2916352 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 161 : 4194304 132283360 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 92 : 4194304 132514944 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 33 : 262144 2925792 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 160 : 4194304 30534368 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 62 : 262144 3250496 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 46 : 262144 2417088 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 47 : 262144 2606912 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 48 : 262144 0 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 50 : 262144 3362112 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 51 : 262144 2541312 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 52 : 262144 2297088 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 53 : 262144 3372064 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 54 : 262144 2543136 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 55 : 262144 3349824 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 56 : 262144 2271232 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 57 : 262144 3299296 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 58 : 262144 3296128 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 59 : 262144 3318592 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 60 : 262144 2500320 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 61 : 262144 2586336 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 95 : 4194304 132716800 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 96 : 4194304 132571360 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 97 : 4194304 30963552 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 98 : 4194304 133163232 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 99 : 4194304 133576064 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 100 : 4194304 30866208 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 101 : 4194304 133357216 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 102 : 4194304 133268672 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 103 : 4194304 31068032 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 104 : 4194304 133001088 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 105 : 4194304 132891360 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 106 : 4194304 31062528 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 107 : 4194304 132576128 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 108 : 4194304 132430784 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 109 : 4194304 31265152 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 110 : 4194304 132781248 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 111 : 4194304 132477632 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 112 : 4194304 31050528 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 113 : 4194304 132932128 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 114 : 4194304 133040448 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 115 : 4194304 31047200 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 116 : 4194304 132943936 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 117 : 4194304 133823232 0 131072 131072 0 0 0 0 
gemm.1.sm_30.ptx 118 : 4194304 30866816 0 0 0 0 0 0 0 
gemm.1.sm_30.ptx 119 : 4194304 132895104 0 131072 131072 0 0 0 0 
